"year" "site" "eggs" "larvae" "tadpoles" "juveniles" "subadults" "adults" "frogs"
"85" 2007 6 NA NA NA NA NA NA NA
"86" 2008 6 0.125 0.375 0.375 0 0.5 2.25 2.75
"87" 2009 6 0 0 0 0 0 2 2
"88" 2010 6 0 0 0 0 0 0 0
"89" 2011 6 0 0 0 0 0 0 0
"90" 2012 6 NA NA NA NA NA NA NA
"91" 1997 7 0 25.8333333333333 25.8333333333333 0 1.66666666666667 2.16666666666667 3.83333333333333
"92" 1998 7 0.642857142857143 56.9285714285714 56.9285714285714 0 1.35714285714286 4.21428571428571 5.57142857142857
"93" 1999 7 1 35.25 39.5 4.25 5.5 12.5 18
"94" 2000 7 0.5 196 196 0 3 2.75 5.75
"95" 2001 7 3 38.6 39.6 1 1.4 2.2 3.6
"96" 2002 7 0.428571428571429 268 268.714285714286 0.714285714285714 1.42857142857143 6.14285714285714 7.57142857142857
"97" 2003 7 0.666666666666667 51.6666666666667 51.6666666666667 0 5.33333333333333 4.33333333333333 9.66666666666667
"98" 2005 7 0 25.8 37.4 11.6 0 4.2 4.2
"99" 2006 7 7.4 60.8 76.2 15.4 0.8 7 7.8
"100" 2007 7 NA NA NA NA NA NA NA
"101" 2008 7 1.11111111111111 35.6666666666667 87.6666666666667 52 5.66666666666667 5.55555555555556 11.2222222222222
"102" 2009 7 0 0 0 0 1 1 2
"103" 2010 7 0 0 1 1 0 0 0
"104" 2011 7 0 0 1 1 0 0 0
"105" 2012 7 0 0 0 0 0 0 0
"106" 1997 8 0 0 0 0 0 1 2
"107" 1998 8 0 0 0 0 0.0769230769230769 0.785714285714286 0.923076923076923
"108" 1999 8 0 0 0 0 0.333333333333333 0 0.333333333333333
"109" 2000 8 0 0 0 0 0 0 0
"110" 2001 8 0 0 0 0 0.75 0.25 1
"111" 2002 8 0 0 0.142857142857143 0.142857142857143 0.285714285714286 0.428571428571429 0.714285714285714
"112" 2003 8 0 2.5 2.5 0 0 2 2
"113" 2005 8 0 0 0.4 0.4 0 0.4 0.4
"114" 2006 8 0 0 0.2 0.2 0.4 0.8 1.2
"115" 2007 8 NA NA NA NA NA NA NA
"116" 2008 8 0 0 0.375 0.375 0.375 1.125 1.5
"117" 2009 8 0 0 0 0 0 0 0
"118" 2010 8 0 0 0 0 0 0 0
"119" 2011 8 0 0 0 0 0 0 0
"120" 2012 8 0 0 0 0 0 0 0
"121" 1997 9 0 0.142857142857143 0.142857142857143 0 1.28571428571429 3.28571428571429 4.57142857142857
"122" 1998 9 0.928571428571429 48.6428571428571 48.6428571428571 0 0.5 3.14285714285714 3.64285714285714
"123" 1999 9 0 0 0 0 2.5 5.25 7.75
"124" 2000 9 0.25 2.25 2.25 0 0.25 0.5 0.75
"125" 2001 9 0 60 60.6 0.6 1.2 2.6 3.8
"126" 2002 9 0.285714285714286 43.5714285714286 43.7142857142857 0.142857142857143 0 1.57142857142857 1.57142857142857
"127" 2003 9 1.33333333333333 74 74 0 2.33333333333333 0.666666666666667 3
"128" 2005 9 0 31.4 32.2 0.8 0.4 3.8 4.2
"129" 2006 9 1.4 44.4 45 0.6 0.4 2.8 3.2
"130" 2007 9 NA NA NA NA NA NA NA
"131" 2008 9 0.125 13.75 15.5 1.75 3.75 4 7.75
"132" 2009 9 0 0 0 0 2 0 2
"133" 2010 9 0 0 0 0 0 0 0
"134" 2011 9 0 0 0 0 0 0 0
"135" 2012 9 0 0 0 0 0 0 0
"136" 1997 10 0 0 0 0 0 1 1
"137" 1998 10 0 0 0 0 0.692307692307692 2 2.69230769230769
"138" 1999 10 0 0 0 0 0 2.66666666666667 2.66666666666667
"139" 2000 10 0.25 0 0 0 0.25 0.75 1
"140" 2001 10 0 0 0 0 0 1.2 1.2
"141" 2002 10 0 0 0 0 0.285714285714286 0.571428571428571 0.857142857142857
"142" 2003 10 0 0 0 0 1 3 4
"143" 2005 10 0 0 0.2 0.2 0.2 2.6 2.8
"144" 2006 10 0 0 1.4 1.4 0.6 3 3.6
"145" 2007 10 NA NA NA NA NA NA NA
"146" 2008 10 0 0 1.25 1.25 0.625 2.25 2.875
"147" 2009 10 0 0 0 0 0 0 0
"148" 2010 10 0 0 0 0 0 0 0
"149" 2011 10 0 0 0 0 0 0 0
"150" 2012 10 0 0 0 0 0 0 0
"151" 1997 11 0 0 0 0 0.8 1.2 2
"152" 1998 11 0 13.2307692307692 13.2307692307692 0 0.0769230769230769 2.53846153846154 2.61538461538462
"153" 1999 11 0 6.33333333333333 7 0.666666666666667 1.33333333333333 2.66666666666667 4
"154" 2000 11 0 0 0 0 0 0 0
"155" 2001 11 0 0 0 0 0 0.4 0.4
"156" 2002 11 0 0 0 0 0.166666666666667 0 0.166666666666667
"157" 2003 11 0 0 0 0 1.5 0.5 2
"158" 2005 11 0 0 0 0 0 0.2 0.2
"159" 2006 11 0 16.6 17 0.4 1.8 0.2 2
"160" 2007 11 NA NA NA NA NA NA NA
"161" 2008 11 0 0 0 0 0.5 0.625 1.125
"162" 2009 11 0 0 0 0 0 2 2
"163" 2010 11 0 0 0 0 0 0 0
"164" 2011 11 NA NA NA NA NA NA NA
"165" 2012 11 NA NA NA NA NA NA NA
"166" 1997 20 NA NA NA NA NA NA NA
"167" 1998 20 25 2.5 4 1.5 2 39 41
"168" 1999 20 0 1085 1086 1 16 100 116
"169" 2000 20 NA NA NA NA NA NA NA
"170" 2001 20 5.75 597.75 602.5 4.75 4.25 8.25 12.5
"171" 2002 20 4.71428571428571 615.571428571429 791.285714285714 175.714285714286 42.1428571428571 47.1428571428571 89.2857142857143
"172" 2003 20 17 1011.33333333333 1150.33333333333 139 115.333333333333 54 169.333333333333
"173" 2005 20 0 465.8 703.8 238 4.4 51.4 55.8
"174" 2006 20 10.2 593.8 768.2 174.4 9.6 29.8 39.4
"175" 2007 20 0 247 375 128 69 101 170
"176" 2008 20 2.88888888888889 312.555555555556 740.444444444444 427.888888888889 10.7777777777778 6.77777777777778 17.5555555555556
"177" 2009 20 1 250 416 166 32 9 41
"178" 2010 20 0 228.5 520.75 292.25 1.75 0 1.75
"179" 2011 20 0 340 372 32 59 0 59
"180" 2012 20 0 112 140 28 0 0 0
"181" 1997 21 NA NA NA NA NA NA NA
"182" 1998 21 NA NA NA NA NA NA NA
"183" 1999 21 NA NA NA NA NA NA NA
"184" 2000 21 NA NA NA NA NA NA NA
"185" 2001 21 0 0 0 0 0 0 0
"186" 2002 21 0 22 22.2 0.2 1.6 5.6 7.2
"187" 2003 21 1 0 0 0 0 3.33333333333333 3.33333333333333
"188" 2005 21 0 0 1.6 1.6 0 7 7
"189" 2006 21 0 0 1 1 1 10 11
"190" 2007 21 0 0 0 0 0 0 0
"191" 2008 21 0 0 0.25 0.25 1.125 3.5 4.625
"192" 2009 21 0 0 0 0 0 0 0
"193" 2010 21 0 0 0 0 0 0 0
"194" 2011 21 0 0 0 0 0 0 0
"195" 2012 21 0 0 0 0 0 0 0
"196" 1997 22 NA NA NA NA NA NA NA
"197" 1998 22 NA NA NA NA NA NA NA
"198" 1999 22 NA NA NA NA NA NA NA
"199" 2000 22 NA NA NA NA NA NA NA
"200" 2001 22 0 50 50 0 1 3 4
"201" 2002 22 0 12.6 49.8 37.2 17.4 11.8 29.2
"202" 2003 22 0 20.6666666666667 48 27.3333333333333 23 23.3333333333333 46.3333333333333
"203" 2005 22 0 53.6 60 6.4 0.4 22.6 23
"204" 2006 22 0.4 171.2 189.8 18.6 4.2 12.2 16.4
"205" 2007 22 0 35 163 128 44 36 80
"206" 2008 22 0 12 59.7777777777778 47.7777777777778 13.8888888888889 8.77777777777778 22.6666666666667
"207" 2009 22 0 22 39 17 3 9 12
"208" 2010 22 0 55 73.25 18.25 0.5 0 0.5
"209" 2011 22 0 0 2 2 4 0 4
"210" 2012 22 0 0 0 0 0 0 0
