year	site	eggs	larvae	tadpoles	juveniles	subadults	adults	frogs
2006	3	0	0	0.4	0.4	1.4	1.4	2.8
2006	4	1.2	89.2	122	32.8	7.4	9.4	16.8
2006	5	6.4	223.8	440	216.2	5.6	17.8	23.4
2006	6	0	0	4.6	4.6	5.4	8.2	13.6
2006	7	7.4	60.8	76.2	15.4	0.8	7	7.8
2006	8	0	0	0.2	0.2	0.4	0.8	1.2
2006	9	1.4	44.4	45	0.6	0.4	2.8	3.2
2006	10	0	0	1.4	1.4	0.6	3	3.6
2006	11	0	16.6	17	0.4	1.8	0.2	2
2006	20	10.2	593.8	768.2	174.4	9.6	29.8	39.4
2006	21	0	0	1	1	1	10	11
2006	22	0.4	171.2	189.8	18.6	4.2	12.2	16.4
2007	1	0	73	73	0	8	29	37
2007	2	0	0	0	0	0	0	0
2007	3	0	0	0	0	2	7	9
2007	4	0	425	635	210	44	22	66
2007	5	0	295	610	315	50	16	66
2007	6	NA	NA	NA	NA	NA	NA	NA
2007	7	NA	NA	NA	NA	NA	NA	NA
2007	8	NA	NA	NA	NA	NA	NA	NA
2007	9	NA	NA	NA	NA	NA	NA	NA
2007	10	NA	NA	NA	NA	NA	NA	NA
2007	11	NA	NA	NA	NA	NA	NA	NA
2007	20	0	247	375	128	69	101	170
2007	21	0	0	0	0	0	0	0
2007	22	0	35	163	128	44	36	80
2008	1	1	51.125	84.125	33	13.625	37.75	51.375
2008	2	1	841.7777778	672.375	0.375	4.333333333	23.22222222	27.55555556
2008	3	0	0	0.111111111	0.111111111	0.111111111	2.777777778	2.888888889
2008	4	0	101.4	110.7	9.3	1.3	5.1	6.4
2008	5	1.555555556	304.4444444	342.1111111	37.66666667	4.777777778	6.555555556	11.33333333
2008	6	0.125	0.375	0.375	0	0.5	2.25	2.75
2008	7	1.111111111	35.66666667	87.66666667	52	5.666666667	5.555555556	11.22222222
2008	8	0	0	0.375	0.375	0.375	1.125	1.5
2008	9	0.125	13.75	15.5	1.75	3.75	4	7.75
2008	10	0	0	1.25	1.25	0.625	2.25	2.875
2008	11	0	0	0	0	0.5	0.625	1.125
2008	20	2.888888889	312.5555556	740.4444444	427.8888889	10.77777778	6.777777778	17.55555556
2008	21	0	0	0.25	0.25	1.125	3.5	4.625
2008	22	0	12	59.77777778	47.77777778	13.88888889	8.777777778	22.66666667
2009	1	2	0	0	0	3	14	17
2009	2	0	0	0	0	0	5	5
2009	3	0	0	0	0	0	0	0
2009	4	0	36	45	9	0	0	0
2009	5	0	28	32	4	2	1	3
2009	6	0	0	0	0	0	2	2
2009	7	0	0	0	0	1	1	2
2009	8	0	0	0	0	0	0	0
2009	9	0	0	0	0	2	0	2
2009	10	0	0	0	0	0	0	0
2009	11	0	0	0	0	0	2	2
2009	20	1	250	416	166	32	9	41
2009	21	0	0	0	0	0	0	0
2009	22	0	22	39	17	3	9	12
2010	1	0	29.75	39.25	9.5	0.75	0.75	1.5
2010	2	0	0	0	0	0	0	0
2010	3	0	0	0	0	0	0	0
2010	4	0	144.25	185.75	41.5	2.75	0	2.75
2010	5	0	242.5	510.25	267.75	0.25	0.25	0.5
2010	6	0	0	0	0	0	0	0
2010	7	0	0	1	1	0	0	0
2010	8	0	0	0	0	0	0	0
2010	9	0	0	0	0	0	0	0
2010	10	0	0	0	0	0	0	0
2010	11	0	0	0	0	0	0	0
2010	20	0	228.5	520.75	292.25	1.75	0	1.75
2010	21	0	0	0	0	0	0	0
2010	22	0	55	73.25	18.25	0.5	0	0.5
2011	1	0	1	4	3	3	0	3
2011	2	0	0	0	0	0	0	0
2011	3	0	0	0	0	0	0	0
2011	4	0	99	107	8	0	0	0
2011	5	0	233	233	0	9	0	9
2011	6	0	0	0	0	0	0	0
2011	7	0	0	1	1	0	0	0
2011	8	0	0	0	0	0	0	0
2011	9	0	0	0	0	0	0	0
2011	10	0	0	0	0	0	0	0
2011	11	NA	NA	NA	NA	NA	NA	NA
2011	20	0	340	372	32	59	0	59
2011	21	0	0	0	0	0	0	0
2011	22	0	0	2	2	4	0	4
2012	1	0	0	0	0	0	0	0
2012	2	0	0	0	0	0	0	0
2012	3	0	0	0	0	0	0	0
2012	4	0	12	14	2	0	0	0
2012	5	0	156	203	47	2	0	2
2012	6	NA	NA	NA	NA	NA	NA	NA
2012	7	0	0	0	0	0	0	0
2012	8	0	0	0	0	0	0	0
2012	9	0	0	0	0	0	0	0
2012	10	0	0	0	0	0	0	0
2012	11	NA	NA	NA	NA	NA	NA	NA
2012	20	0	112	140	28	0	0	0
2012	21	0	0	0	0	0	0	0
2012	22	0	0	0	0	0	0	0
2013	1	0	0	0	0	0	0	0
2013	2	0	0	0	0	0	0	0
2013	3	0	0	0	0	0	0	0
2013	4	0	0	0	0	0	0	0
2013	5	0	0	0	0	0	0	0
2013	6	0	0	0	0	0	0	0
2013	7	0	0	0	0	0	0	0
2013	8	0	0	0	0	0	0	0
2013	9	0	0	0	0	0	0	0
2013	10	0	0	0	0	0	0	0
2013	11	0	0	0	0	0	0	0
2013	20	0	0	0	0	0	0	0
2013	21	0	0	0	0	0	0	0
2013	22	0	0	0	0	0	0	0
2014	1	0	0	0	0	0	0	0
2014	2	0	0	0	0	0	0	0
2014	3	0	0	0	0	0	0	0
2014	4	0	0	0	0	0	0	0
2014	5	0	0	0	0	0	0	0
2014	6	0	0	0	0	0	0	0
2014	7	0	0	0	0	0	0	0
2014	8	0	0	0	0	0	0	0
2014	9	0	0	0	0	0	0	0
2014	10	0	0	0	0	0	0	0
2014	11	0	0	0	0	0	0	0
2014	20	0	0	0	0	0	0	0
2014	21	0	0	0	0	0	0	0
2014	22	0	0	0	0	0	0	0
2015	1	0	0	0	0	0	0	0
2015	2	0	0	0	0	0	0	0
2015	3	0	0	0	0	0	0	0
2015	4	0	0	0	0	0	0	0
2015	5	0	0	0	0	0	0	0
2015	6	0	0	0	0	0	0	0
2015	7	0	0	0	0	0	0	0
2015	8	0	0	0	0	0	0	0
2015	9	0	0	0	0	0	0	0
2015	10	0	0	0	0	0	0	0
2015	11	0	0	0	0	0	0	0
2015	20	0	0	0	0	0	0	0
2015	21	0	0	0	0	0	0	0
2015	22	0	0	0	0	0	0	0
